Title,Date,User,Body,Rating
Amazing podcast,04/22/2019,bulgaria not included,"Amazing in-depth reporting, engaging stories uncovering issues of great concern. The latest series ""How it Ends"" with reporting by Ruth Sherlock is phenomenal. I'm anxiously awaiting each episode. The only thing I don't like is the theme music. It's unnecesarily dramatic. Please consider changing it.",5
Fascinating in-depth reporting,04/20/2019,RN1371,"Every series is a well-documented story, very human in nature. The hosts are clearly dedicated to a compassionate and factual story delivery related to a contemporary topic, while letting their subjects speak in their own voice and from their own experience. Highly recommended.",5
Thank you!!!,04/19/2019,Luminous Connector,Great reporting and storytelling. I learn so much from your podcast. Excellent work. Keep going. Thank you!!!,5
Clearly anti-American. Very disappointed.,04/19/2019,gunguy98,"There is a clear, leftist vibe to these podcasts. I stopped listening after reaching one where the hosts are tell the story (in a very sympathetic way) of Muslims who join Isis and want to come back to their homeland now, after things clearly didn’t go the way they planned. Absolutely disgusted that they would sympathize to this kind of treason. They should be imprisoned.",1
"Heartbreaking but engaging, interesting and needed",04/18/2019,London99Don'tbuy,"Sad, incredible stories about the people affected by isis",5
Amazing,04/18/2019,Politics Momma,Loved it. So informative.,5
Really?,04/18/2019,Bigtuna18!,Embedded has so much disposable income that they are gonna waste there time reporting on ISIS members. How about something worth your listeners time! How about the 1000 issues happening right here in the USA. So disappointed.......🙁,1
Awful in every way you would expect,04/14/2019,BCF200000,Per usual,1
One of the best!,04/11/2019,MethadoneMike,"My wife calls me the 'NPR' JUNKIE. That's because a good 60+ % of my podcasts come from the need outle.
With that said, Embedded ranks right there at the top. It does just what it claims and Goes Deep.",5
I listen to lots of podcasts. This one is the best.,04/08/2019,Surrounded by Children,Embedded is the best podcast out there. I love the reporting and the humanity. I hope there are a lot more episodes coming!,5
First season kills it. After that.....,11/01/2018,Metal Mike Tattoos,This use to be my favorite podcast but has gone done hill since the first season. Return to that format because a whole season on why you hate Trump got boring quickly. I want to learn about stuff not be bored to death.,1
Partisan and sarcastic,11/04/2018,rep10937,"While the stories she presents are interesting. She does so in a way that does not allow for any differing opinion. I’m a bit tired of all the sarcastic comments and tones when talking about anything related to republicans or our police forces. Take a look at the economy! We’ve done a good job! How about some journalistic integrity? I for one, would like a podcast like this with some of that involved.",1
Getting to Leftists,11/05/2018,Statewes,Used to love this podcast but it’s gotten way to left wing political. Please stick to the good stories you originally had and get off the right wing bashing. Thanks,3
Are you related,11/09/2018,premenopausalme,Are you related to Sara Koenig(spelling) you sound exactly like her. Love your shows,5
Way too long between episodes,11/12/2018,SpaceIsOnly,"If you're gonna podcast, then cast. There's way too long between episodes.",2
Leftest,11/13/2018,Squarebutt$&@&&$&91874,"Why not ask the question, what Obama did for us black folks!
You won’t cause you know!
He used em",1
Always Getting Better!,11/25/2018,CWinders,"I started listening to Embedded when it was first released in the summer of 2016. The breadth and depth of material that Kelly has covered since then amazes me. She and the show are a versatile duo, pushing sensitive buttons and deep diving into topics that being uncomfortable truths to the surface. Keep up the incredible storytelling!",5
Love this podcast!,01/15/2019,Marissa939597,This podcast is so interesting and I’ve learned so much. I love how you take today’s biggest headlines and put real life stories to them. Helps to contextualize the importance of these headlines. Thank you!!!! Please do more!,5
Great Show!,01/25/2019,DA setters,I love the fact that they take the time to be accurate in their reporting. The coal stories really hit close to home. My family is from the region and in my lifetime seeing the decline is really heartbreaking.,5
The House,01/31/2019,salindquist,"I really like Embedded and would give this 5 stars but I am noticing lately, and not just in this podcast, but even for example Oprah’s super soul conversations which I listen to quite a bit as well, at how fast people are talking. I just want to comment on the speed and cadence of the narrative. I am not sure if this is something podcast hosts have fallen into by nature of the task or if something else is going on, but for some reason I feel like the narration is all of a sudden on overdrive. Curious if anyone else notices this as well.",4
Really Deep Dives by the Inspiring Kelly McEvers,02/05/2019,Alicia Magee,"I don't think I've found any other podcast that goes so deep into important issues like this. This podcast knows what it's trying to do and it does it well. You will come out far more informed than you thought you could be, and McEvers is an excellent host.",5
“After the Storm” is excellent,02/21/2019,Charli Bull,"I re-lived the desperation of not having power and the relief when it came back while listening to this episode. And my family and I were very lucky because we got our power back in 47 days. The incompetence of both the Federal and local government in the aftermath was incredible. The problems in Puerto Rico persist today and we don’t see any light at the end of the tunnel... there is no viable economic plan, we feel like 2nd rate US citizens, the government continues politicking with every possible issue, oppressive laws, like the Jones Act, continue to strangle every citizen, and there is little knowledge in the mainland of all these issues. Thank you, NPR, for bringing some of these topics to light.",5
Tremendously engaging,02/21/2019,Cynroles,I love all of the content! I’m always excited when I see there’s a new episode available. My ONLY complaint is that there’s not more content being uploaded more often. I understand it takes time to cover the stories the way this podcast does. I just want more! Can’t wait for the next episode,5
An NPR Gem,02/25/2019,StPeteFlJames,"Focuses on critical issues, tells a compelling story, balances in-depth with the big picture, and Kelly is a pleasure to listen to. This one of the few podcasts I really look forward to.",5
Captivating and creative,03/05/2019,wendy nathalia,I love the perspective in this series. Great job diving into these topics in such a detailed and efficient manner. So many interesting stories that you usually don’t get enough of in online articles or news,5
Great podcast,03/11/2019,jhbb 490,"This is not the regular type of podcast I listen to, but I have to say it’s great. I love the style and the voices are easy to hear and the stories are so interesting. It’s an A+",5
EVERY Parent should listen to this!,03/22/2019,NgaireSG,"He groomed adults whilst abusing children. This should be a cautionary tale for all parents. Listen to your children and believe them. Your first reaction to their disclosure is so important. Listen and believe. Report, report! Thank you for doing this podcast.",5
Great job..,03/28/2019,juanc mtz 21,"This podcast is great in order to have a clear idea of how different topics affect our everyday life.
I enjoy every episode, please keep it coming.",4
How it ends is amazing,04/06/2019,kayeskayes,"I just listened to the first episode of how it ends. It is an amazing feat of in depth journalism and asking ethical questions. I believe that all the Jihadis chose to join the fight in order to impose their twisted worldview. They are not redeemable. These guys should die where they stand, maybe hurry off to meet the waiting virgins. However, after listening to episode one I am questioning my own view. Bravo for putting some doubt in my already made up mind.",5
The Vocal Fry is Strong in This One,04/06/2019,arfy66213467,So much more entertaining after Mueller findings. There were tears in the studio that day...,1
Great work Kelly and Team!,07/19/2018,Joem500,The story-telling style of real news events with the facts and frontline reporting is phenomenal listening. Great work. I felt better about Obama's Syrian policy and understood more about my heritage in the Coal Mining country after tuning in. Thank you.,5
I cannot get enough,07/20/2018,Ymom,"I am always so sad when an episode ends. These casts are brilliant, such an examination of topics that I didn’t know that I absolutely need to know. Thanks Kelly and team!!",5
I have listened to the political episodes twice. So much content.,07/25/2018,ska121189,Love this podcast! Wish they would do more episodes on Trump department heads.,5
Great journalism,07/28/2018,Hemispingus,Love this show’s deep dives on its subjects. I feel like a better human for it.,5
"Detailed, fascinating and draws you in",08/06/2018,Campaign junkie,I love when I see another episode has landed in my phone.,5
"Great show, I cannot get enough",08/08/2018,heman8400,This is what good journalism is. In depth. Fair. Real. There isn’t a better investigative podcast available. I cannot wait for each new episode.,5
Coal Miner,08/11/2018,Lemmelook5,As a Illinois coal miner of 10 years from a mining family third generation the miner piece was so well done from the politics of Mining to the real reason why coal in the US looked up for a second. As a black and educated man who did coal mining to paid for College in my twenties thank God they closed that death hole. The money is not that good for a person with any talent at all.,5
Embedded,08/12/2018,hrehr,This podcast is excellent. This is investigative journalism at its best.,5
Amazing podcast,08/13/2018,klsinva,Incredible reporting and production. Intelligent and captivating stories. Thank you Kelly.,5
Great,08/16/2018,kinger611,Great show. Looking forward to next episode!,5
Rerun,08/18/2018,Atholder,Why do these NPR podcast put out “new” episodes that are just reused with a new minute intro?,2
the trump podcast,08/19/2018,symphtronic,this show is obsessed with Trump and Trump voters. As if NPR wasn't already the 24/7 trump network. enough already!,1
Has gone down hill,08/21/2018,amdbdbkendb,"Used to be a really good show when they’d actually get EMBEDDED to make an episode. Now they just go for the low hanging fruit talking about Trump, to the point where they’re even in repeats with the topics they focus on with Trump",2
Finally a voice I can listen to...,08/21/2018,rainy day in california,Kelly McEvers has the best voice in podcasting IMHO. And the content is amazing... Thank you!,5
Very informative and very interesting!,08/22/2018,gEExr,"This is one of my favorite podcast these days. Kelly McEver is doing a great job every week in creating a story that is tight-knit, interesting and well researched. Outstanding. Keep it up.",5
Fantastic,08/28/2018,Allison_Pons,Kelly McEvers is an amazing journalist. This podcast is always interesting.,5
Completely captivating,08/30/2018,Theresa B Sayers,"I am addicted to this podcast. It is completely captivating, thorough, exciting, thought provoking and relevant to today’s issues. Keep up the good work.",5
Very informative,08/30/2018,drinkme22,Very well researched and great interviews!,5
"Informative, emotional",09/02/2018,Adarzie,This show is amazing. I have learned so much about the context behind what’s happening in the world. Huge fan.,5
Awesome,09/06/2018,Charlie19Clay,"Love this podcast. It’s interesting and intimate. I often get a perspective from the show that I wouldn’t have gotten otherwise, and that is worth a lot these days.",5
Back to the old format!,06/22/2018,Johnfhdis,"PLEASE go back to the format of Season 1. There’s so much police video and Trump coverage in the news already. In-depth, original stories were the best part of Embedded, and made it the best podcast on the NPR network. Now every week feels like an uninteresting retread.",1
Should be required listening for all HS Students,06/26/2018,t.sneed,Embedded is informative and digs deep into various stories. This podcast is for all ages and we should encourage people to listen to this and similar podcasts to get a better understanding of what people throughout the country are going through.,5
Amazing detail,06/27/2018,Scotty Mc58,"Really great reporting, in very great detail. All subjects are treated with respect.",5
Not very diverse.,06/28/2018,theoriginalwjburr,"If you want to hear how much they hate Trump or how coal miners get their jobs, then this is the podcast for you.",2
